d/L0,d/L,H/H0',,,
0.0084 ,0.03689 ,1.495 ,,,
0.0085 ,0.03711 ,1.491 ,,,
0.0086 ,0.03733 ,1.487 ,,,
0.0087 ,0.03755 ,1.482 ,,,
0.0088 ,0.03777 ,1.478 ,,,
0.0089 ,0.03799 ,1.474 ,,,
0.0090 ,0.03821 ,1.471 ,,,
0.0091 ,0.03842 ,1.467 ,,,
0.0092 ,0.03864 ,1.463 ,,,
0.0093 ,0.03885 ,1.459 ,,,
0.0094 ,0.03906 ,1.456 ,,,
0.0095 ,0.03928 ,1.452 ,,,
0.0096 ,0.03949 ,1.448 ,,,
0.0097 ,0.03970 ,1.445 ,,,
0.0098 ,0.03990 ,1.442 ,,,
0.0099 ,0.04011 ,1.438 ,,,
0.0100 ,0.04032 ,1.435 ,,,
0.0110 ,0.04233 ,1.403 ,,,
0.0120 ,0.04426 ,1.375 ,,,
0.0130 ,0.04612 ,1.350 ,,,
0.0140 ,0.04791 ,1.327 ,,,
0.0150 ,0.04964 ,1.307 ,,,
0.0160 ,0.05132 ,1.288 ,,,
0.0170 ,0.05296 ,1.271 ,,,
0.0180 ,0.05455 ,1.255 ,,,
0.0190 ,0.05611 ,1.240 ,,,
0.0200 ,0.05763 ,1.226 ,,,
0.0210 ,0.05912 ,1.213 ,,,
0.0220 ,0.06057 ,1.201 ,,,
0.0230 ,0.06200 ,1.189 ,,,
0.0240 ,0.06340 ,1.178 ,,,
0.0250 ,0.06478 ,1.168 ,,,
0.0260 ,0.06613 ,1.159 ,,,
0.0270 ,0.06747 ,1.150 ,,,
0.0280 ,0.06878 ,1.141 ,,,
0.0290 ,0.07007 ,1.133 ,,,
0.0300 ,0.07135 ,1.125 ,,,
0.0310 ,0.07260 ,1.118 ,,,
0.0320 ,0.07385 ,1.111 ,,,
0.0330 ,0.07507 ,1.104 ,,,
0.0340 ,0.07630 ,1.098 ,,,
0.0350 ,0.07748 ,1.092 ,,,
0.0360 ,0.07867 ,1.086 ,,,
0.0370 ,0.07984 ,1.080 ,,,
0.0380 ,0.08100 ,1.075 ,,,
0.0390 ,0.08215 ,1.069 ,,,
0.0400 ,0.08329 ,1.064 ,,,
0.0410 ,0.08442 ,1.059 ,,,
0.0420 ,0.08553 ,1.055 ,,,
0.0430 ,0.08664 ,1.050 ,,,
0.0440 ,0.08774 ,1.046 ,,,
0.0450 ,0.08883 ,1.042 ,,,
0.0460 ,0.08991 ,1.038 ,,,
0.0470 ,0.09098 ,1.034 ,,,
0.0480 ,0.09205 ,1.030 ,,,
0.0490 ,0.09311 ,1.026 ,,,
0.0500 ,0.09416 ,1.023 ,,,
0.0510 ,0.09520 ,1.019 ,,,
0.0520 ,0.09623 ,1.016 ,,,
0.0530 ,0.09726 ,1.013 ,,,
0.0540 ,0.09829 ,1.010 ,,,
0.0550 ,0.09930 ,1.007 ,,,
0.0560 ,0.1003 ,1.004 ,,,
0.0570 ,0.1013 ,1.001 ,,,
0.0580 ,0.1023 ,0.9985 ,,,
0.0590 ,0.1033 ,0.9958 ,,,
0.0600 ,0.1043 ,0.9932 ,,,
0.0610 ,0.1053 ,0.9907 ,,,
0.0620 ,0.1063 ,0.9883 ,,,
0.0630 ,0.1073 ,0.9860 ,,,
0.0640 ,0.1082 ,0.9837 ,,,
0.0650 ,0.1092 ,0.9815 ,,,
0.0660 ,0.1101 ,0.9793 ,,,
0.0670 ,0.1111 ,0.9772 ,,,
0.0680 ,0.1120 ,0.9752 ,,,
0.0690 ,0.1130 ,0.9732 ,,,
0.0700 ,0.1139 ,0.9713 ,,,
0.0710 ,0.1149 ,0.9694 ,,,
0.0720 ,0.1158 ,0.9676 ,,,
0.0730 ,0.1168 ,0.9658 ,,,
0.0740 ,0.1177 ,0.9641 ,,,
0.0750 ,0.1186 ,0.9624 ,,,
0.0760 ,0.1195 ,0.9607 ,,,
0.0770 ,0.1205 ,0.9591 ,,,
0.0780 ,0.1214 ,0.9576 ,,,
0.0790 ,0.1223 ,0.9562 ,,,
0.0800 ,0.1232 ,0.9548 ,,,
0.0810 ,0.1241 ,0.9534 ,,,
0.0820 ,0.1251 ,0.9520 ,,,
0.0830 ,0.1259 ,0.9506 ,,,
0.0840 ,0.1268 ,0.9493 ,,,
0.0850 ,0.1277 ,0.9481 ,,,
0.0860 ,0.1286 ,0.9469 ,,,
0.0870 ,0.1295 ,0.9457 ,,,
0.0880 ,0.1304 ,0.9445 ,,,
0.0890 ,0.1313 ,0.9433 ,,,
0.0900 ,0.1322 ,0.9422 ,,,
0.0910 ,0.1331 ,0.9411 ,,,
0.0920 ,0.1340 ,0.9401 ,,,
0.0930 ,0.1349 ,0.9391 ,,,
0.0940 ,0.1357 ,0.9381 ,,,
0.0950 ,0.1366 ,0.9371 ,,,
0.0960 ,0.1375 ,0.9362 ,,,
0.0970 ,0.1384 ,0.9353 ,,,
0.0980 ,0.1392 ,0.9344 ,,,
0.0990 ,0.1401 ,0.9335 ,,,
0.1000 ,0.1410 ,0.9327 ,,,
0.1010 ,0.1419 ,0.9319 ,,,
0.1020 ,0.1427 ,0.9311 ,,,
0.1030 ,0.1436 ,0.9304 ,,,
0.1040 ,0.1445 ,0.9297 ,,,
0.1050 ,0.1453 ,0.9290 ,,,
0.1060 ,0.1462 ,0.9282 ,,,
0.1070 ,0.1470 ,0.9276 ,,,
0.1080 ,0.1479 ,0.9269 ,,,
0.1090 ,0.1488 ,0.9263 ,,,
0.1100 ,0.1496 ,0.9257 ,,,
0.1110 ,0.1505 ,0.9251 ,,,
0.1120 ,0.1513 ,0.9245 ,,,
0.1130 ,0.1522 ,0.9239 ,,,
0.1140 ,0.1530 ,0.9234 ,,,
0.1150 ,0.1539 ,0.9228 ,,,
0.1160 ,0.1547 ,0.9223 ,,,
0.1170 ,0.1556 ,0.9218 ,,,
0.1180 ,0.1564 ,0.9214 ,,,
0.1190 ,0.1573 ,0.9209 ,,,
0.1200 ,0.1581 ,0.9204 ,,,
0.1210 ,0.1590 ,0.9200 ,,,
0.1220 ,0.1598 ,0.9196 ,,,
0.1230 ,0.1607 ,0.9192 ,,,
0.1240 ,0.1615 ,0.9189 ,,,
0.1250 ,0.1624 ,0.9186 ,,,
0.1260 ,0.1632 ,0.9182 ,,,
0.1270 ,0.1640 ,0.9178 ,,,
0.1280 ,0.1649 ,0.9175 ,,,
0.1290 ,0.1657 ,0.9172 ,,,
0.1300 ,0.1665 ,0.9169 ,,,
0.1310 ,0.1674 ,0.9166 ,,,
0.1320 ,0.1682 ,0.9164 ,,,
0.1330 ,0.1691 ,0.9161 ,,,
0.1340 ,0.1699 ,0.9158 ,,,
0.1350 ,0.1708 ,0.9156 ,,,
0.1360 ,0.1716 ,0.9154 ,,,
0.1370 ,0.1724 ,0.9152 ,,,
0.1380 ,0.1733 ,0.9150 ,,,
0.1390 ,0.1741 ,0.9148 ,,,
0.1400 ,0.1749 ,0.9146 ,,,
0.1410 ,0.1758 ,0.9144 ,,,
0.1420 ,0.1766 ,0.9142 ,,,
0.1430 ,0.1774 ,0.9141 ,,,
0.1440 ,0.1783 ,0.9140 ,,,
0.1450 ,0.1791 ,0.9139 ,,,
0.1460 ,0.1800 ,0.9137 ,,,
0.1470 ,0.1808 ,0.9136 ,,,
0.1480 ,0.1816 ,0.9135 ,,,
0.1490 ,0.1825 ,0.9134 ,,,
0.1500 ,0.1833 ,0.9133 ,,,
0.1510 ,0.1841 ,0.9133 ,,,
0.1520 ,0.1850 ,0.9132 ,,,
0.1530 ,0.1858 ,0.9132 ,,,
0.1540 ,0.1866 ,0.9132 ,,,
0.1550 ,0.1875 ,0.9131 ,,,
0.1560 ,0.1883 ,0.9130 ,,,
0.1570 ,0.1891 ,0.9129 ,,,
0.1580 ,0.1900 ,0.9130 ,,,
0.1590 ,0.1908 ,0.9130 ,,,
0.1600 ,0.1917 ,0.9130 ,,,
0.1610 ,0.1925 ,0.9130 ,,,
0.1620 ,0.1933 ,0.9130 ,,,
0.1630 ,0.1941 ,0.9130 ,,,
0.1640 ,0.1950 ,0.9130 ,,,
0.1650 ,0.1958 ,0.9131 ,,,
0.1660 ,0.1966 ,0.9132 ,,,
0.1670 ,0.1975 ,0.9132 ,,,
0.1680 ,0.1983 ,0.9133 ,,,
0.1690 ,0.1992 ,0.9133 ,,,
0.1700 ,0.2000 ,0.9134 ,,,
0.1710 ,0.2008 ,0.9135 ,,,
0.1720 ,0.2017 ,0.9136 ,,,
0.1730 ,0.2025 ,0.9137 ,,,
0.1740 ,0.2033 ,0.9138 ,,,
0.1750 ,0.2042 ,0.9139 ,,,
0.1760 ,0.2050 ,0.9140 ,,,
0.1770 ,0.2058 ,0.9141 ,,,
0.1780 ,0.2066 ,0.9142 ,,,
0.1790 ,0.2075 ,0.9144 ,,,
0.1800 ,0.2083 ,0.9145 ,,,
0.1810 ,0.2092 ,0.9146 ,,,
0.1820 ,0.2010 ,0.9148 ,,,
0.1830 ,0.2108 ,0.9149 ,,,
0.1840 ,0.2117 ,0.9150 ,,,
0.1850 ,0.2125 ,0.9152 ,,,
0.1860 ,0.2134 ,0.9154 ,,,
0.1870 ,0.2142 ,0.9155 ,,,
0.1880 ,0.2150 ,0.9157 ,,,
0.1890 ,0.2159 ,0.9159 ,,,
0.1900 ,0.2167 ,0.9161 ,,,
0.1910 ,0.2176 ,0.9163 ,,,
0.1920 ,0.2184 ,0.9165 ,,,
0.1930 ,0.2192 ,0.9167 ,,,
0.1940 ,0.2201 ,0.9169 ,,,
0.1950 ,0.2209 ,0.9170 ,,,
0.1960 ,0.2218 ,0.9172 ,,,
0.1970 ,0.2226 ,0.9174 ,,,
0.1980 ,0.2234 ,0.9176 ,,,
0.1990 ,0.2243 ,0.9179 ,,,
0.2000 ,0.2251 ,0.9181 ,,,
0.2010 ,0.2260 ,0.9183 ,,,
0.2020 ,0.2268 ,0.9186 ,,,
0.2030 ,0.2277 ,0.9188 ,,,
0.2040 ,0.2285 ,0.9190 ,,,
0.2050 ,0.2293 ,0.9193 ,,,
0.2060 ,0.2302 ,0.9195 ,,,
0.2070 ,0.2310 ,0.9197 ,,,
0.2080 ,0.2319 ,0.9200 ,,,
0.2090 ,0.2328 ,0.9202 ,,,
0.2100 ,0.2336 ,0.9205 ,,,
0.2110 ,0.2344 ,0.9207 ,,,
0.2120 ,0.2353 ,0.9210 ,,,
0.2130 ,0.2361 ,0.9213 ,,,
0.2140 ,0.2370 ,0.9215 ,,,
0.2150 ,0.2378 ,0.9218 ,,,
0.2160 ,0.2387 ,0.9221 ,,,
0.2170 ,0.2395 ,0.9223 ,,,
0.2180 ,0.2404 ,0.9226 ,,,
0.2190 ,0.2412 ,0.9228 ,,,
0.2200 ,0.2421 ,0.9231 ,,,
0.2210 ,0.2429 ,0.9234 ,,,
0.2220 ,0.2438 ,0.9236 ,,,
0.2230 ,0.2446 ,0.9239 ,,,
0.2240 ,0.2455 ,0.9242 ,,,
0.2250 ,0.2463 ,0.9245 ,,,
0.2260 ,0.2472 ,0.9248 ,,,
0.2270 ,0.2481 ,0.9251 ,,,
0.2280 ,0.2489 ,0.9254 ,,,
0.2290 ,0.2498 ,0.9258 ,,,
0.2300 ,0.2506 ,0.9261 ,,,
0.2310 ,0.2515 ,0.9264 ,,,
0.2320 ,0.2523 ,0.9267 ,,,
0.2330 ,0.2532 ,0.9270 ,,,
0.2340 ,0.2540 ,0.9273 ,,,
0.2350 ,0.2549 ,0.9276 ,,,
0.2360 ,0.2558 ,0.9279 ,,,
0.2370 ,0.2566 ,0.9282 ,,,
0.2380 ,0.2575 ,0.9285 ,,,
0.2390 ,0.2584 ,0.9288 ,,,
0.2400 ,0.2592 ,0.9291 ,,,
0.2410 ,0.2601 ,0.9294 ,,,
0.2420 ,0.2610 ,0.9298 ,,,
0.2430 ,0.2618 ,0.9301 ,,,
0.2440 ,0.2627 ,0.9304 ,,,
0.2450 ,0.2635 ,0.9307 ,,,
0.2460 ,0.2644 ,0.9310 ,,,
0.2470 ,0.2653 ,0.9314 ,,,
0.2480 ,0.2661 ,0.9317 ,,,
0.2490 ,0.2670 ,0.9320 ,,,
0.2500 ,0.2679 ,0.9323 ,,,
0.2510 ,0.2687 ,0.9327 ,,,
0.2520 ,0.2696 ,0.9330 ,,,
0.2530 ,0.2705 ,0.9333 ,,,
0.2540 ,0.2714 ,0.9336 ,,,
0.2550 ,0.2722 ,0.9340 ,,,
0.2560 ,0.2731 ,0.9343 ,,,
0.2570 ,0.2740 ,0.9346 ,,,
0.2580 ,0.2749 ,0.9349 ,,,
0.2590 ,0.2757 ,0.9353 ,,,
0.2600 ,0.2766 ,0.9356 ,,,
0.2610 ,0.2775 ,0.9360 ,,,
0.2620 ,0.2784 ,0.9363 ,,,
0.2630 ,0.2792 ,0.9367 ,,,
0.2640 ,0.2801 ,0.9370 ,,,
0.2650 ,0.2810 ,0.9373 ,,,
0.2660 ,0.2819 ,0.9377 ,,,
0.2670 ,0.2827 ,0.9380 ,,,
0.2680 ,0.2836 ,0.9383 ,,,
0.2690 ,0.2845 ,0.9386 ,,,
0.2700 ,0.2854 ,0.9390 ,,,
0.2710 ,0.2863 ,0.9393 ,,,
0.2720 ,0.2872 ,0.9396 ,,,
0.2730 ,0.2880 ,0.9400 ,,,
0.2740 ,0.2889 ,0.9403 ,,,
0.2750 ,0.2898 ,0.9406 ,,,
0.2760 ,0.2907 ,0.9410 ,,,
0.2770 ,0.2916 ,0.9413 ,,,
0.2780 ,0.2924 ,0.9416 ,,,
0.2790 ,0.2933 ,0.9420 ,,,
0.2800 ,0.2942 ,0.9423 ,,,
0.2810 ,0.2951 ,0.9426 ,,,
0.2820 ,0.2960 ,0.9430 ,,,
0.2830 ,0.2969 ,0.9433 ,,,
0.2840 ,0.2978 ,0.9436 ,,,
0.2850 ,0.2987 ,0.9440 ,,,
0.2860 ,0.2996 ,0.9443 ,,,
0.2870 ,0.3005 ,0.9446 ,,,
0.2880 ,0.3014 ,0.9449 ,,,
0.2890 ,0.3022 ,0.9452 ,,,
0.2900 ,0.3031 ,0.9456 ,,,
0.2910 ,0.3040 ,0.9459 ,,,
0.2920 ,0.3049 ,0.4630 ,,,
0.2930 ,0.3058 ,0.9466 ,,,
0.2940 ,0.3067 ,0.9469 ,,,
0.2950 ,0.3076 ,0.9473 ,,,
0.2960 ,0.3085 ,0.9476 ,,,
0.2970 ,0.3094 ,0.9480 ,,,
0.2980 ,0.3103 ,0.9483 ,,,
0.2990 ,0.3112 ,0.9486 ,,,
0.3000 ,0.3121 ,0.9490 ,,,
0.3010 ,0.3130 ,0.9193 ,,,
0.3020 ,0.3139 ,0.9496 ,,,
0.3030 ,0.3148 ,0.9499 ,,,
0.3040 ,0.3157 ,0.9502 ,,,
0.3050 ,0.3166 ,0.9505 ,,,
0.3060 ,0.3175 ,0.9509 ,,,
0.3070 ,0.3184 ,0.9512 ,,,
0.3080 ,0.3193 ,0.9515 ,,,
0.3090 ,0.3202 ,0.9518 ,,,
0.3100 ,0.3211 ,0.9522 ,,,
0.3110 ,0.3220 ,0.9525 ,,,
0.3120 ,0.3230 ,0.9528 ,,,
0.3130 ,0.3239 ,0.9531 ,,,
0.3140 ,0.3248 ,0.9535 ,,,
0.3150 ,0.3257 ,0.9538 ,,,
0.3160 ,0.3266 ,0.9541 ,,,
0.3170 ,0.3275 ,0.9544 ,,,
0.3180 ,0.3284 ,0.9547 ,,,
0.3190 ,0.3294 ,0.9550 ,,,
0.3200 ,0.3302 ,0.9530 ,,,
0.3210 ,0.3311 ,0.9556 ,,,
0.3220 ,0.3321 ,0.9559 ,,,
0.3230 ,0.3330 ,0.9562 ,,,
0.3240 ,0.3339 ,0.9565 ,,,
0.3250 ,0.3349 ,0.9568 ,,,
0.3260 ,0.3357 ,0.9571 ,,,
0.3270 ,0.3367 ,0.9574 ,,,
0.3280 ,0.3376 ,0.9577 ,,,
0.3290 ,0.3385 ,0.9580 ,,,
0.3300 ,0.3394 ,0.9583 ,,,
0.3310 ,0.3403 ,0.9586 ,,,
0.3320 ,0.3413 ,0.9589 ,,,
0.3330 ,0.3422 ,0.9592 ,,,
0.3340 ,0.3431 ,0.9595 ,,,
0.3350 ,0.3440 ,0.9598 ,,,
0.3360 ,0.3449 ,0.9601 ,,,
0.3370 ,0.3459 ,0.9604 ,,,
0.3380 ,0.3468 ,0.9607 ,,,
0.3390 ,0.3477 ,0.9610 ,,,
0.3400 ,0.3486 ,0.9613 ,,,
0.3410 ,0.3495 ,0.9615 ,,,
0.3420 ,0.3504 ,0.9618 ,,,
0.3430 ,0.3514 ,0.9621 ,,,
0.3440 ,0.3523 ,0.9623 ,,,
0.3450 ,0.3532 ,0.9626 ,,,
0.3460 ,0.3542 ,0.9629 ,,,
0.3470 ,0.3551 ,0.9632 ,,,
0.3480 ,0.3560 ,0.9635 ,,,
0.3490 ,0.3570 ,0.9638 ,,,
0.3500 ,0.3579 ,0.9640 ,,,
0.3510 ,0.3588 ,0.9643 ,,,
0.3520 ,0.3598 ,0.9646 ,,,
0.3530 ,0.3607 ,0.9648 ,,,
0.3540 ,0.3616 ,0.9651 ,,,
0.3550 ,0.3625 ,0.9654 ,,,
0.3560 ,0.3635 ,0.9657 ,,,
0.3570 ,0.3644 ,0.9659 ,,,
0.3580 ,0.3653 ,0.9662 ,,,
0.3590 ,0.3663 ,0.9665 ,,,
0.3600 ,0.3672 ,0.9667 ,,,
0.3610 ,0.3682 ,0.9670 ,,,
0.3620 ,0.3691 ,0.9673 ,,,
0.3630 ,0.3700 ,0.9675 ,,,
0.3640 ,0.3709 ,0.9677 ,,,
0.3650 ,0.3719 ,0.9680 ,,,
0.3660 ,0.3728 ,0.9683 ,,,
0.3670 ,0.3737 ,0.9686 ,,,
0.3680 ,0.3747 ,0.9688 ,,,
0.3690 ,0.3756 ,0.9690 ,,,
0.3700 ,0.3766 ,0.9693 ,,,
0.3710 ,0.3775 ,0.9696 ,,,
0.3720 ,0.3785 ,0.9698 ,,,
0.3730 ,0.3794 ,0.9700 ,,,
0.3740 ,0.3804 ,0.9702 ,,,
0.3750 ,0.3813 ,0.9705 ,,,
0.3760 ,0.3822 ,0.9707 ,,,
0.3770 ,0.3832 ,0.9709 ,,,
0.3780 ,0.3841 ,0.9712 ,,,
0.3790 ,0.3850 ,0.9714 ,,,
0.3800 ,0.3860 ,0.9717 ,,,
0.3810 ,0.3869 ,0.9719 ,,,
0.3820 ,0.3879 ,0.9721 ,,,
0.3830 ,0.3888 ,0.9724 ,,,
0.3840 ,0.3898 ,0.9726 ,,,
0.3850 ,0.3907 ,0.9728 ,,,
0.3860 ,0.3917 ,0.9730 ,,,
0.3870 ,0.3926 ,0.9732 ,,,
0.3880 ,0.3936 ,0.9735 ,,,
0.3890 ,0.3945 ,0.9737 ,,,
0.3900 ,0.3955 ,0.9739 ,,,
0.3910 ,0.3964 ,0.9741 ,,,
0.3920 ,0.3974 ,0.9743 ,,,
0.3930 ,0.3983 ,0.9745 ,,,
0.3940 ,0.3993 ,0.9748 ,,,
0.3950 ,0.4002 ,0.9750 ,,,
0.3960 ,0.4012 ,0.9752 ,,,
0.3970 ,0.4021 ,0.9754 ,,,
0.3980 ,0.4031 ,0.9756 ,,,
0.3990 ,0.4040 ,0.9758 ,,,
0.4000 ,0.4050 ,0.9761 ,,,
0.4010 ,0.4059 ,0.9763 ,,,
0.4020 ,0.4069 ,0.9765 ,,,
0.4030 ,0.4078 ,0.9766 ,,,
0.4040 ,0.4088 ,0.9768 ,,,
0.4050 ,0.4098 ,0.9770 ,,,
0.4060 ,0.4107 ,0.9772 ,,,
0.4070 ,0.4116 ,0.9774 ,,,
0.4080 ,0.4126 ,0.9776 ,,,
0.4090 ,0.4136 ,0.9778 ,,,
0.4100 ,0.4145 ,0.9780 ,,,
0.4110 ,0.4155 ,0.9782 ,,,
0.4120 ,0.4164 ,0.9784 ,,,
0.4130 ,0.4174 ,0.9786 ,,,
0.4140 ,0.4183 ,0.9788 ,,,
0.4150 ,0.4193 ,0.9790 ,,,
0.4160 ,0.4203 ,0.9792 ,,,
0.4170 ,0.4212 ,0.9794 ,,,
0.4180 ,0.4222 ,0.9795 ,,,
0.4190 ,0.4231 ,0.9797 ,,,
0.4200 ,0.4241 ,0.9798 ,,,
0.4210 ,0.4251 ,0.9800 ,,,
0.4220 ,0.4260 ,0.9802 ,,,
0.4230 ,0.4270 ,0.9804 ,,,
0.4240 ,0.4280 ,0.9806 ,,,
0.4250 ,0.4289 ,0.9808 ,,,
0.4260 ,0.4298 ,0.9810 ,,,
0.4270 ,0.4308 ,0.9811 ,,,
0.4280 ,0.4318 ,0.9812 ,,,
0.4290 ,0.4328 ,0.9814 ,,,
0.4300 ,0.4337 ,0.9816 ,,,
0.4310 ,0.4347 ,0.9818 ,,,
0.4320 ,0.4356 ,0.9819 ,,,
0.4330 ,0.4366 ,0.9821 ,,,
0.4340 ,0.4376 ,0.9823 ,,,
0.4350 ,0.4385 ,0.9824 ,,,
0.4360 ,0.4395 ,0.9826 ,,,
0.4370 ,0.4405 ,0.9828 ,,,
0.4380 ,0.4414 ,0.9829 ,,,
0.4390 ,0.4424 ,0.9830 ,,,
0.4400 ,0.4434 ,0.9832 ,,,
0.4410 ,0.4443 ,0.9833 ,,,
0.4420 ,0.4453 ,0.9835 ,,,
0.4430 ,0.4463 ,0.9836 ,,,
0.4440 ,0.4472 ,0.9838 ,,,
0.4450 ,0.4482 ,0.9839 ,,,
0.4460 ,0.4492 ,0.9841 ,,,
0.4470 ,0.4501 ,0.9843 ,,,
0.4480 ,0.4511 ,0.9844 ,,,
0.4490 ,0.4521 ,0.9846 ,,,
0.4500 ,0.4531 ,0.9847 ,,,
0.4510 ,0.4540 ,0.9848 ,,,
0.4520 ,0.4550 ,0.9849 ,,,
0.4530 ,0.4560 ,0.9851 ,,,
0.4540 ,0.4569 ,0.9852 ,,,
0.4550 ,0.4579 ,0.9853 ,,,
0.4560 ,0.4589 ,0.9855 ,,,
0.4570 ,0.4599 ,0.9857 ,,,
0.4580 ,0.4608 ,0.9858 ,,,
0.4590 ,0.4618 ,0.9859 ,,,
0.4600 ,0.4628 ,0.9860 ,,,
0.4610 ,0.4637 ,0.9862 ,,,
0.4620 ,0.4647 ,0.9863 ,,,
0.4630 ,0.4657 ,0.9864 ,,,
0.4640 ,0.4666 ,0.9865 ,,,
0.4650 ,0.4676 ,0.9867 ,,,
0.4660 ,0.4686 ,0.9868 ,,,
0.4670 ,0.4695 ,0.9869 ,,,
0.4680 ,0.4705 ,0.9871 ,,,
0.4690 ,0.4715 ,0.9872 ,,,
0.4700 ,0.4725 ,0.9873 ,,,
0.4710 ,0.4735 ,0.9874 ,,,
0.4720 ,0.4744 ,0.9875 ,,,
0.4730 ,0.4754 ,0.9876 ,,,
0.4740 ,0.4764 ,0.9877 ,,,
0.4750 ,0.4774 ,0.9878 ,,,
0.4760 ,0.4783 ,0.9880 ,,,
0.4770 ,0.4793 ,0.9881 ,,,
0.4780 ,0.4803 ,0.9882 ,,,
0.4790 ,0.4813 ,0.9883 ,,,
0.4800 ,0.4822 ,0.9885 ,,,
0.4810 ,0.4832 ,0.9886 ,,,
0.4820 ,0.4842 ,0.9887 ,,,
0.4830 ,0.4852 ,0.9888 ,,,
0.4840 ,0.4862 ,0.9889 ,,,
0.4850 ,0.4871 ,0.9890 ,,,
0.4860 ,0.4881 ,0.9891 ,,,
0.4870 ,0.4891 ,0.9892 ,,,
0.4880 ,0.4901 ,0.9893 ,,,
0.4890 ,0.4911 ,0.9895 ,,,
0.4900 ,0.4920 ,0.9896 ,,,
0.4910 ,0.4930 ,0.9897 ,,,
0.4920 ,0.4940 ,0.9898 ,,,
0.4930 ,0.4950 ,0.9899 ,,,
0.4940 ,0.4960 ,0.9899 ,,,
0.4950 ,0.4969 ,0.9900 ,,,
